deploy_id,ptt,instr,date,datetime,type,quality,latitude,longitude,error_radius,error_semi_major_axis,error_semi_minor_axis,error_ellipse_orientation,offset,offset_orientation,gpe_msd,gpe_u,count,comment
Lupita,167775,Mk10,01:46:45 25-Mar-2017,2017-03-25T01:46:45Z,Argos,1,37.8127,-122.5215,518,1337,200,47,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,01:57:15 25-Mar-2017,2017-03-25T01:57:15Z,Argos,2,37.8347,-122.5268,420,2438,72,77,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,02:40:49 25-Mar-2017,2017-03-25T02:40:49Z,Argos,B,37.8497,-122.532,1445,2319,899,81,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,03:25:19 25-Mar-2017,2017-03-25T03:25:19Z,Argos,A,37.8793,-122.5359,176,349,88,67,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,17:47:45 05-Apr-2017,2017-04-05T17:47:45Z,Argos,0,28.9027,-118.399,1621,22756,115,102,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,22:24:15 05-Apr-2017,2017-04-05T22:24:15Z,Argos,0,28.8773,-118.2899,2050,11213,374,86,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,00:09:04 06-Apr-2017,2017-04-06T00:09:04Z,Argos,B,28.8926,-118.2958,6084,18089,2046,39,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,00:34:16 06-Apr-2017,2017-04-06T00:34:16Z,Argos,B,28.8926,-118.299,1461,3852,554,3,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,01:56:03 06-Apr-2017,2017-04-06T01:56:03Z,Argos,A,28.8812,-118.2944,276,540,141,172,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,01:59:03 06-Apr-2017,2017-04-06T01:59:03Z,Argos,3,28.8823,-118.2932,185,829,41,86,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,02:10:07 06-Apr-2017,2017-04-06T02:10:07Z,Argos,0,28.8824,-118.2914,1609,16673,155,100,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,03:42:14 06-Apr-2017,2017-04-06T03:42:14Z,Argos,A,28.8827,-118.2884,552,764,399,179,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,01:33:58 07-Apr-2017,2017-04-07T01:33:58Z,Argos,B,28.8685,-118.2522,3573,15973,799,53,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,01:39:13 07-Apr-2017,2017-04-07T01:39:13Z,Argos,0,28.9046,-118.2653,2434,6360,931,16,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,01:48:27 07-Apr-2017,2017-04-07T01:48:27Z,Argos,3,28.8731,-118.2653,186,368,93,136,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,04:39:29 07-Apr-2017,2017-04-07T04:39:29Z,Argos,3,28.886,-118.2597,142,493,41,70,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,01:03:04 08-Apr-2017,2017-04-08T01:03:04Z,Argos,B,28.9039,-118.13,3668,10073,1335,95,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,01:15:49 08-Apr-2017,2017-04-08T01:15:49Z,Argos,B,28.9133,-118.165,4616,93369,228,104,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,01:33:49 08-Apr-2017,2017-04-08T01:33:49Z,Argos,B,28.9239,-118.2668,7397,199886,273,78,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,04:18:22 08-Apr-2017,2017-04-08T04:18:22Z,Argos,3,28.9621,-118.2218,148,224,98,66,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,05:16:07 08-Apr-2017,2017-04-08T05:16:07Z,Argos,B,28.9582,-118.2404,746,9635,57,80,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,01:23:56 09-Apr-2017,2017-04-09T01:23:56Z,Argos,B,28.9601,-118.2243,1646,25851,104,139,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,02:18:01 09-Apr-2017,2017-04-09T02:18:01Z,Argos,B,28.9676,-118.2409,1720,3827,773,132,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,02:18:01 09-Apr-2017,2017-04-09T02:18:01Z,Argos,B,28.9617,-118.236,3250,13889,760,139,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,03:58:41 09-Apr-2017,2017-04-09T03:58:41Z,Argos,2,28.9445,-118.2389,446,1172,169,136,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,04:49:46 09-Apr-2017,2017-04-09T04:49:46Z,Argos,A,28.9331,-118.2476,788,2206,281,98,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,01:10:47 10-Apr-2017,2017-04-10T01:10:47Z,Argos,A,28.9104,-118.2223,490,1771,135,25,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,01:51:13 10-Apr-2017,2017-04-10T01:51:13Z,Argos,B,28.9062,-118.2273,914,975,855,90,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,01:51:13 10-Apr-2017,2017-04-10T01:51:13Z,Argos,B,28.9069,-118.227,1000,1159,863,39,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,02:49:13 10-Apr-2017,2017-04-10T02:49:13Z,Argos,B,28.9028,-118.2347,1434,1553,1323,59,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,04:32:56 10-Apr-2017,2017-04-10T04:32:56Z,Argos,B,28.8966,-118.2411,1720,3270,904,78,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,05:17:11 10-Apr-2017,2017-04-10T05:17:11Z,Argos,A,28.8966,-118.2464,187,664,52,96,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,01:21:04 11-Apr-2017,2017-04-11T01:21:04Z,Argos,B,28.9103,-118.3539,2797,40632,192,102,NA,NA,NA,NA,NA,Lon > 4 deviations from mean
Lupita,167775,Mk10,01:30:04 11-Apr-2017,2017-04-11T01:30:04Z,Argos,A,28.8861,-118.2714,168,430,65,83,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,02:41:19 11-Apr-2017,2017-04-11T02:41:19Z,Argos,3,28.8853,-118.2647,150,429,52,90,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,02:56:19 11-Apr-2017,2017-04-11T02:56:19Z,Argos,A,28.8848,-118.266,178,262,120,179,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,03:10:55 11-Apr-2017,2017-04-11T03:10:55Z,Argos,B,28.8843,-118.266,548,618,485,91,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,04:55:36 11-Apr-2017,2017-04-11T04:55:36Z,Argos,A,28.894,-118.2468,376,1333,106,70,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,01:05:19 12-Apr-2017,2017-04-12T01:05:19Z,Argos,A,28.9052,-118.2432,191,286,126,0,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,02:22:42 12-Apr-2017,2017-04-12T02:22:42Z,Argos,2,28.9044,-118.2378,353,1203,103,123,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,02:32:25 12-Apr-2017,2017-04-12T02:32:25Z,Argos,3,28.906,-118.2407,174,1254,24,78,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,04:37:10 12-Apr-2017,2017-04-12T04:37:10Z,Argos,B,28.907,-118.2357,1305,2262,753,81,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,13:28:35 12-Apr-2017,2017-04-12T13:28:35Z,Argos,B,28.881,-118.2308,2916,4871,1745,109,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,13:36:05 12-Apr-2017,2017-04-12T13:36:05Z,Argos,A,28.8956,-118.2459,975,32636,29,80,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,01:57:49 13-Apr-2017,2017-04-13T01:57:49Z,Argos,B,28.9054,-118.2073,3072,6284,1501,117,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,02:17:22 13-Apr-2017,2017-04-13T02:17:22Z,Argos,3,28.8952,-118.2436,189,456,78,134,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,02:18:39 13-Apr-2017,2017-04-13T02:18:39Z,Argos,3,28.8964,-118.2443,182,565,58,76,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,04:15:47 13-Apr-2017,2017-04-13T04:15:47Z,Argos,2,28.8652,-118.2307,470,689,320,82,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,01:27:05 14-Apr-2017,2017-04-14T01:27:05Z,Argos,B,28.7747,-118.1442,12846,29154,5659,121,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,01:55:35 14-Apr-2017,2017-04-14T01:55:35Z,Argos,3,28.8808,-118.2927,182,748,44,75,NA,NA,NA,NA,NA,NA
Lupita,167775,Mk10,02:06:05 14-Apr-2017,2017-04-14T02:06:05Z,Argos,B,28.8801,-118.2914,476,603,375,84,NA,NA,NA,NA,NA,NA
