deploy_id,ptt,instr,date,datetime,type,quality,latitude,longitude,error_radius,error_semi_major_axis,error_semi_minor_axis,error_ellipse_orientation,offset,offset_orientation,gpe_msd,gpe_u,count,comment
Salsa,167774,Mk10,01:56:03 25-Mar-2017,2017-03-25T01:56:03Z,Argos,A,37.2507,-125.4645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salsa,167774,Mk10,02:39:54 25-Mar-2017,2017-03-25T02:39:54Z,Argos,B,37.9233,-122.5266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salsa,167774,Mk10,01:03:43 05-Apr-2017,2017-04-05T01:03:43Z,Argos,1,28.8814,-118.2636,771,1182,502,169,NA,NA,NA,NA,NA,NA
Salsa,167774,Mk10,02:12:31 05-Apr-2017,2017-04-05T02:12:31Z,Argos,B,28.8873,-118.2664,4576,6197,3378,76,NA,NA,NA,NA,NA,NA
Salsa,167774,Mk10,02:21:39 05-Apr-2017,2017-04-05T02:21:39Z,Argos,B,28.8703,-118.3044,948,12424,72,55,NA,NA,NA,NA,NA,NA
Salsa,167774,Mk10,02:43:38 05-Apr-2017,2017-04-05T02:43:38Z,Argos,3,28.8792,-118.2886,201,473,85,95,NA,NA,NA,NA,NA,NA
Salsa,167774,Mk10,03:44:35 05-Apr-2017,2017-04-05T03:44:35Z,Argos,B,28.8785,-118.287,1788,2082,1534,78,NA,NA,NA,NA,NA,NA
Salsa,167774,Mk10,04:38:43 05-Apr-2017,2017-04-05T04:38:43Z,Argos,B,28.8817,-118.2871,1372,37138,50,82,NA,NA,NA,NA,NA,NA
Salsa,167774,Mk10,05:21:00 05-Apr-2017,2017-04-05T05:21:00Z,Argos,3,28.8806,-118.295,125,289,54,76,NA,NA,NA,NA,NA,NA
Salsa,167774,Mk10,05:21:00 05-Apr-2017,2017-04-05T05:21:00Z,Argos,3,28.8806,-118.295,125,289,54,76,NA,NA,NA,NA,NA,NA
Salsa,167774,Mk10,01:55:11 06-Apr-2017,2017-04-06T01:55:11Z,Argos,0,28.884,-118.2967,1819,4561,725,93,NA,NA,NA,NA,NA,NA
